archivo;oracion_id;oracion;cubanismo_detectado;lema_bd;categoria_gramatical;es_cubanismo;ia_sugiere;ia_razon;ia_beto_final
cartas_2014-03-21_situacion-en-el-poblado-de-orozco.html.xml.txt;1;"Soy un asiduo lector de esta sección, que considero de gran importancia por la posibilidad que brinda de exponer problemas que, en mi opinión, muchos no debieron llegar a ese punto si existiera un trabajo sistemático y eficiente de los responsables de darles solución, los que al verse reflejados es que se movilizan.Escribo por la situación muy preocupante que existe en la localidad de Orozco, municipio de Bahía Honda, actual Artemisa, donde se ubicaba el central Pablo de la Torriente Brau que fue cerrado en virtud de la tarea Álvaro Reynoso en el año 2003.En el estudio previo que se realizó en el país este evento fue catalogado como de mayor impacto negativo por la falta de otras fuentes de empleo para los trabajadores, ubicación geográfica apartada, vías de acceso de topografía adversa, etc.; por esa razón en aquel momento las autoridades del municipio emprendieron un importante número de acciones a fin de atenuar el impacto y lograr la reanimación del batey, sin embargo, hoy al cabo de 10 años puede constatarse que en sentido general todo quedó en el intento, por solo citar tres ejemplos de muchos que pudiera: La empresa agropecuaria creada tiene muy discretos resultados y no es fuente que genere ingresos seguros (incluso en una reciente decisión fue trasladada la sede de su dirección fuera de la localidad), no existe ruta de guaguas para enlazar la comunidad y propiciar el movimiento de los trabajadores que se reubicaron, en este entorno se toma la inexplicable decisión de cerrar el centro telefónico que brindaba servicios a la población con lo cual queda prácticamente incomunicada.Soy natural de Bejucal en la provincia de Mayabeque pero durante 14 años viví, formé familia y trabajé en el central del que fui director de Recursos Humanos, mi hija pequeña sigue residiendo allí y conservo muchas amistades y compañeros por lo que me expreso con conocimiento de causa.Sería conveniente que las autoridades del municipio se pronunciaran para revertir la situación, los pobladores de Orozco, una comunidad con arraigadas tradiciones culturales y elevado espíritu de sacrificio y trabajo, se lo merecen.";central;central;m;;;;0
cartas_2014-03-21_situacion-en-el-poblado-de-orozco.html.xml.txt;1;"Soy un asiduo lector de esta sección, que considero de gran importancia por la posibilidad que brinda de exponer problemas que, en mi opinión, muchos no debieron llegar a ese punto si existiera un trabajo sistemático y eficiente de los responsables de darles solución, los que al verse reflejados es que se movilizan.Escribo por la situación muy preocupante que existe en la localidad de Orozco, municipio de Bahía Honda, actual Artemisa, donde se ubicaba el central Pablo de la Torriente Brau que fue cerrado en virtud de la tarea Álvaro Reynoso en el año 2003.En el estudio previo que se realizó en el país este evento fue catalogado como de mayor impacto negativo por la falta de otras fuentes de empleo para los trabajadores, ubicación geográfica apartada, vías de acceso de topografía adversa, etc.; por esa razón en aquel momento las autoridades del municipio emprendieron un importante número de acciones a fin de atenuar el impacto y lograr la reanimación del batey, sin embargo, hoy al cabo de 10 años puede constatarse que en sentido general todo quedó en el intento, por solo citar tres ejemplos de muchos que pudiera: La empresa agropecuaria creada tiene muy discretos resultados y no es fuente que genere ingresos seguros (incluso en una reciente decisión fue trasladada la sede de su dirección fuera de la localidad), no existe ruta de guaguas para enlazar la comunidad y propiciar el movimiento de los trabajadores que se reubicaron, en este entorno se toma la inexplicable decisión de cerrar el centro telefónico que brindaba servicios a la población con lo cual queda prácticamente incomunicada.Soy natural de Bejucal en la provincia de Mayabeque pero durante 14 años viví, formé familia y trabajé en el central del que fui director de Recursos Humanos, mi hija pequeña sigue residiendo allí y conservo muchas amistades y compañeros por lo que me expreso con conocimiento de causa.Sería conveniente que las autoridades del municipio se pronunciaran para revertir la situación, los pobladores de Orozco, una comunidad con arraigadas tradiciones culturales y elevado espíritu de sacrificio y trabajo, se lo merecen.";situación;situación;f;;;;1
cartas_2014-03-21_situacion-en-el-poblado-de-orozco.html.xml.txt;1;"Soy un asiduo lector de esta sección, que considero de gran importancia por la posibilidad que brinda de exponer problemas que, en mi opinión, muchos no debieron llegar a ese punto si existiera un trabajo sistemático y eficiente de los responsables de darles solución, los que al verse reflejados es que se movilizan.Escribo por la situación muy preocupante que existe en la localidad de Orozco, municipio de Bahía Honda, actual Artemisa, donde se ubicaba el central Pablo de la Torriente Brau que fue cerrado en virtud de la tarea Álvaro Reynoso en el año 2003.En el estudio previo que se realizó en el país este evento fue catalogado como de mayor impacto negativo por la falta de otras fuentes de empleo para los trabajadores, ubicación geográfica apartada, vías de acceso de topografía adversa, etc.; por esa razón en aquel momento las autoridades del municipio emprendieron un importante número de acciones a fin de atenuar el impacto y lograr la reanimación del batey, sin embargo, hoy al cabo de 10 años puede constatarse que en sentido general todo quedó en el intento, por solo citar tres ejemplos de muchos que pudiera: La empresa agropecuaria creada tiene muy discretos resultados y no es fuente que genere ingresos seguros (incluso en una reciente decisión fue trasladada la sede de su dirección fuera de la localidad), no existe ruta de guaguas para enlazar la comunidad y propiciar el movimiento de los trabajadores que se reubicaron, en este entorno se toma la inexplicable decisión de cerrar el centro telefónico que brindaba servicios a la población con lo cual queda prácticamente incomunicada.Soy natural de Bejucal en la provincia de Mayabeque pero durante 14 años viví, formé familia y trabajé en el central del que fui director de Recursos Humanos, mi hija pequeña sigue residiendo allí y conservo muchas amistades y compañeros por lo que me expreso con conocimiento de causa.Sería conveniente que las autoridades del municipio se pronunciaran para revertir la situación, los pobladores de Orozco, una comunidad con arraigadas tradiciones culturales y elevado espíritu de sacrificio y trabajo, se lo merecen.";comunidad;comunidad;f;;;;0
cartas_2014-03-21_situacion-en-el-poblado-de-orozco.html.xml.txt;1;"Soy un asiduo lector de esta sección, que considero de gran importancia por la posibilidad que brinda de exponer problemas que, en mi opinión, muchos no debieron llegar a ese punto si existiera un trabajo sistemático y eficiente de los responsables de darles solución, los que al verse reflejados es que se movilizan.Escribo por la situación muy preocupante que existe en la localidad de Orozco, municipio de Bahía Honda, actual Artemisa, donde se ubicaba el central Pablo de la Torriente Brau que fue cerrado en virtud de la tarea Álvaro Reynoso en el año 2003.En el estudio previo que se realizó en el país este evento fue catalogado como de mayor impacto negativo por la falta de otras fuentes de empleo para los trabajadores, ubicación geográfica apartada, vías de acceso de topografía adversa, etc.; por esa razón en aquel momento las autoridades del municipio emprendieron un importante número de acciones a fin de atenuar el impacto y lograr la reanimación del batey, sin embargo, hoy al cabo de 10 años puede constatarse que en sentido general todo quedó en el intento, por solo citar tres ejemplos de muchos que pudiera: La empresa agropecuaria creada tiene muy discretos resultados y no es fuente que genere ingresos seguros (incluso en una reciente decisión fue trasladada la sede de su dirección fuera de la localidad), no existe ruta de guaguas para enlazar la comunidad y propiciar el movimiento de los trabajadores que se reubicaron, en este entorno se toma la inexplicable decisión de cerrar el centro telefónico que brindaba servicios a la población con lo cual queda prácticamente incomunicada.Soy natural de Bejucal en la provincia de Mayabeque pero durante 14 años viví, formé familia y trabajé en el central del que fui director de Recursos Humanos, mi hija pequeña sigue residiendo allí y conservo muchas amistades y compañeros por lo que me expreso con conocimiento de causa.Sería conveniente que las autoridades del municipio se pronunciaran para revertir la situación, los pobladores de Orozco, una comunidad con arraigadas tradiciones culturales y elevado espíritu de sacrificio y trabajo, se lo merecen.";trabajo;trabajo;m;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;1;La Dirección de la Empresa de Comercio en el municipio de Campechuela, Granma, luego de conocida la queja publicada en el periódico Granma en la sección Cartas a la dirección, el pasado 10 de enero, del compañero Antonio Torres Cuba quien suscribe a nombre de su papá, vecino de Alto de Jó en el municipio antes mencionado con el título Hachas… de fragmentación, procedió a realizar un análisis en el Departamento Comercial de la Empresa, creándose una comisión donde participaron Pablo O.;realizar;realizar;v;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;1;La Dirección de la Empresa de Comercio en el municipio de Campechuela, Granma, luego de conocida la queja publicada en el periódico Granma en la sección Cartas a la dirección, el pasado 10 de enero, del compañero Antonio Torres Cuba quien suscribe a nombre de su papá, vecino de Alto de Jó en el municipio antes mencionado con el título Hachas… de fragmentación, procedió a realizar un análisis en el Departamento Comercial de la Empresa, creándose una comisión donde participaron Pablo O.;comercial;comercial;m;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;2;"Marín Labrada, subdirector comercial, Enrique Olivera, jefe del Departamento Comercial y Adonis Fonseca Gregorich, administrador de la Unidad – 4403 La Fortuna de esta comunidad.Como resultado de la investigación y como se expone en la carta, su planteamiento fue atendido en reiteradas ocasiones en su propio barrio, con el objetivo de darle al promovente la atención que merece y como está acostumbrada nuestra empresa, fue visitado por Enrique Olivera y Adonis Fonseca, los que ocupan los cargos que antes mencionamos, enunciándole que se realizaría el cambio del artículo, estando de acuerdo.Se procedió a realizar la reclamación a la Universal originando demora a la hora de situar este utensilio; cuando se efectúa la entrega de las hachas en la bodega La Fortuna de inmediato el administrador se dirige al promovente para hacer entrega de la misma, el cual plantea que no la acepta porque esta es de la misma calidad, se sitúa en la bodega para ser vendidas y sí cumplir con la entrega de los 105.00 pesos en MN que es lo que deseaba Antonio Torres Guerra, tarea que se realizó en el mes de noviembre del 2013 , haciendo entrega del pago al cliente.Se comprobó además, que es cierto que existió demora a la hora de solucionarse la preocupación, esto estuvo dado por la tardanza en el tiempo de recoger las hachas que no cumplían con la calidad requerida, para luego enviarlas a la Universal, responsabilidad que el Comercial de la Unidad Básica le correspondía efectuar en el término establecido.La Dirección de la Empresa adoptó la siguiente medida disciplinaria con el responsable:Enrique Olivera Núñez, jefe del Departamento Comercial de la Unidad Básica, consistente en una Amonestación Pública en su colectivo de trabajadores.Lamentamos mucho el tiempo de espera de Antonio Torres y su hijo Antonio Torres Cuba y les ofrecemos nuestras más sinceras disculpas por las molestias ocasionadas.Atentamente,";comercial;comercial;m;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;2;"Marín Labrada, subdirector comercial, Enrique Olivera, jefe del Departamento Comercial y Adonis Fonseca Gregorich, administrador de la Unidad – 4403 La Fortuna de esta comunidad.Como resultado de la investigación y como se expone en la carta, su planteamiento fue atendido en reiteradas ocasiones en su propio barrio, con el objetivo de darle al promovente la atención que merece y como está acostumbrada nuestra empresa, fue visitado por Enrique Olivera y Adonis Fonseca, los que ocupan los cargos que antes mencionamos, enunciándole que se realizaría el cambio del artículo, estando de acuerdo.Se procedió a realizar la reclamación a la Universal originando demora a la hora de situar este utensilio; cuando se efectúa la entrega de las hachas en la bodega La Fortuna de inmediato el administrador se dirige al promovente para hacer entrega de la misma, el cual plantea que no la acepta porque esta es de la misma calidad, se sitúa en la bodega para ser vendidas y sí cumplir con la entrega de los 105.00 pesos en MN que es lo que deseaba Antonio Torres Guerra, tarea que se realizó en el mes de noviembre del 2013 , haciendo entrega del pago al cliente.Se comprobó además, que es cierto que existió demora a la hora de solucionarse la preocupación, esto estuvo dado por la tardanza en el tiempo de recoger las hachas que no cumplían con la calidad requerida, para luego enviarlas a la Universal, responsabilidad que el Comercial de la Unidad Básica le correspondía efectuar en el término establecido.La Dirección de la Empresa adoptó la siguiente medida disciplinaria con el responsable:Enrique Olivera Núñez, jefe del Departamento Comercial de la Unidad Básica, consistente en una Amonestación Pública en su colectivo de trabajadores.Lamentamos mucho el tiempo de espera de Antonio Torres y su hijo Antonio Torres Cuba y les ofrecemos nuestras más sinceras disculpas por las molestias ocasionadas.Atentamente,";comercial;comercial;m;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;2;"Marín Labrada, subdirector comercial, Enrique Olivera, jefe del Departamento Comercial y Adonis Fonseca Gregorich, administrador de la Unidad – 4403 La Fortuna de esta comunidad.Como resultado de la investigación y como se expone en la carta, su planteamiento fue atendido en reiteradas ocasiones en su propio barrio, con el objetivo de darle al promovente la atención que merece y como está acostumbrada nuestra empresa, fue visitado por Enrique Olivera y Adonis Fonseca, los que ocupan los cargos que antes mencionamos, enunciándole que se realizaría el cambio del artículo, estando de acuerdo.Se procedió a realizar la reclamación a la Universal originando demora a la hora de situar este utensilio; cuando se efectúa la entrega de las hachas en la bodega La Fortuna de inmediato el administrador se dirige al promovente para hacer entrega de la misma, el cual plantea que no la acepta porque esta es de la misma calidad, se sitúa en la bodega para ser vendidas y sí cumplir con la entrega de los 105.00 pesos en MN que es lo que deseaba Antonio Torres Guerra, tarea que se realizó en el mes de noviembre del 2013 , haciendo entrega del pago al cliente.Se comprobó además, que es cierto que existió demora a la hora de solucionarse la preocupación, esto estuvo dado por la tardanza en el tiempo de recoger las hachas que no cumplían con la calidad requerida, para luego enviarlas a la Universal, responsabilidad que el Comercial de la Unidad Básica le correspondía efectuar en el término establecido.La Dirección de la Empresa adoptó la siguiente medida disciplinaria con el responsable:Enrique Olivera Núñez, jefe del Departamento Comercial de la Unidad Básica, consistente en una Amonestación Pública en su colectivo de trabajadores.Lamentamos mucho el tiempo de espera de Antonio Torres y su hijo Antonio Torres Cuba y les ofrecemos nuestras más sinceras disculpas por las molestias ocasionadas.Atentamente,";comunidad;comunidad;f;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;2;"Marín Labrada, subdirector comercial, Enrique Olivera, jefe del Departamento Comercial y Adonis Fonseca Gregorich, administrador de la Unidad – 4403 La Fortuna de esta comunidad.Como resultado de la investigación y como se expone en la carta, su planteamiento fue atendido en reiteradas ocasiones en su propio barrio, con el objetivo de darle al promovente la atención que merece y como está acostumbrada nuestra empresa, fue visitado por Enrique Olivera y Adonis Fonseca, los que ocupan los cargos que antes mencionamos, enunciándole que se realizaría el cambio del artículo, estando de acuerdo.Se procedió a realizar la reclamación a la Universal originando demora a la hora de situar este utensilio; cuando se efectúa la entrega de las hachas en la bodega La Fortuna de inmediato el administrador se dirige al promovente para hacer entrega de la misma, el cual plantea que no la acepta porque esta es de la misma calidad, se sitúa en la bodega para ser vendidas y sí cumplir con la entrega de los 105.00 pesos en MN que es lo que deseaba Antonio Torres Guerra, tarea que se realizó en el mes de noviembre del 2013 , haciendo entrega del pago al cliente.Se comprobó además, que es cierto que existió demora a la hora de solucionarse la preocupación, esto estuvo dado por la tardanza en el tiempo de recoger las hachas que no cumplían con la calidad requerida, para luego enviarlas a la Universal, responsabilidad que el Comercial de la Unidad Básica le correspondía efectuar en el término establecido.La Dirección de la Empresa adoptó la siguiente medida disciplinaria con el responsable:Enrique Olivera Núñez, jefe del Departamento Comercial de la Unidad Básica, consistente en una Amonestación Pública en su colectivo de trabajadores.Lamentamos mucho el tiempo de espera de Antonio Torres y su hijo Antonio Torres Cuba y les ofrecemos nuestras más sinceras disculpas por las molestias ocasionadas.Atentamente,";realizar;realizar;v;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;2;"Marín Labrada, subdirector comercial, Enrique Olivera, jefe del Departamento Comercial y Adonis Fonseca Gregorich, administrador de la Unidad – 4403 La Fortuna de esta comunidad.Como resultado de la investigación y como se expone en la carta, su planteamiento fue atendido en reiteradas ocasiones en su propio barrio, con el objetivo de darle al promovente la atención que merece y como está acostumbrada nuestra empresa, fue visitado por Enrique Olivera y Adonis Fonseca, los que ocupan los cargos que antes mencionamos, enunciándole que se realizaría el cambio del artículo, estando de acuerdo.Se procedió a realizar la reclamación a la Universal originando demora a la hora de situar este utensilio; cuando se efectúa la entrega de las hachas en la bodega La Fortuna de inmediato el administrador se dirige al promovente para hacer entrega de la misma, el cual plantea que no la acepta porque esta es de la misma calidad, se sitúa en la bodega para ser vendidas y sí cumplir con la entrega de los 105.00 pesos en MN que es lo que deseaba Antonio Torres Guerra, tarea que se realizó en el mes de noviembre del 2013 , haciendo entrega del pago al cliente.Se comprobó además, que es cierto que existió demora a la hora de solucionarse la preocupación, esto estuvo dado por la tardanza en el tiempo de recoger las hachas que no cumplían con la calidad requerida, para luego enviarlas a la Universal, responsabilidad que el Comercial de la Unidad Básica le correspondía efectuar en el término establecido.La Dirección de la Empresa adoptó la siguiente medida disciplinaria con el responsable:Enrique Olivera Núñez, jefe del Departamento Comercial de la Unidad Básica, consistente en una Amonestación Pública en su colectivo de trabajadores.Lamentamos mucho el tiempo de espera de Antonio Torres y su hijo Antonio Torres Cuba y les ofrecemos nuestras más sinceras disculpas por las molestias ocasionadas.Atentamente,";reclamación;reclamación;f;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;2;"Marín Labrada, subdirector comercial, Enrique Olivera, jefe del Departamento Comercial y Adonis Fonseca Gregorich, administrador de la Unidad – 4403 La Fortuna de esta comunidad.Como resultado de la investigación y como se expone en la carta, su planteamiento fue atendido en reiteradas ocasiones en su propio barrio, con el objetivo de darle al promovente la atención que merece y como está acostumbrada nuestra empresa, fue visitado por Enrique Olivera y Adonis Fonseca, los que ocupan los cargos que antes mencionamos, enunciándole que se realizaría el cambio del artículo, estando de acuerdo.Se procedió a realizar la reclamación a la Universal originando demora a la hora de situar este utensilio; cuando se efectúa la entrega de las hachas en la bodega La Fortuna de inmediato el administrador se dirige al promovente para hacer entrega de la misma, el cual plantea que no la acepta porque esta es de la misma calidad, se sitúa en la bodega para ser vendidas y sí cumplir con la entrega de los 105.00 pesos en MN que es lo que deseaba Antonio Torres Guerra, tarea que se realizó en el mes de noviembre del 2013 , haciendo entrega del pago al cliente.Se comprobó además, que es cierto que existió demora a la hora de solucionarse la preocupación, esto estuvo dado por la tardanza en el tiempo de recoger las hachas que no cumplían con la calidad requerida, para luego enviarlas a la Universal, responsabilidad que el Comercial de la Unidad Básica le correspondía efectuar en el término establecido.La Dirección de la Empresa adoptó la siguiente medida disciplinaria con el responsable:Enrique Olivera Núñez, jefe del Departamento Comercial de la Unidad Básica, consistente en una Amonestación Pública en su colectivo de trabajadores.Lamentamos mucho el tiempo de espera de Antonio Torres y su hijo Antonio Torres Cuba y les ofrecemos nuestras más sinceras disculpas por las molestias ocasionadas.Atentamente,";situar;situar;v;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;2;"Marín Labrada, subdirector comercial, Enrique Olivera, jefe del Departamento Comercial y Adonis Fonseca Gregorich, administrador de la Unidad – 4403 La Fortuna de esta comunidad.Como resultado de la investigación y como se expone en la carta, su planteamiento fue atendido en reiteradas ocasiones en su propio barrio, con el objetivo de darle al promovente la atención que merece y como está acostumbrada nuestra empresa, fue visitado por Enrique Olivera y Adonis Fonseca, los que ocupan los cargos que antes mencionamos, enunciándole que se realizaría el cambio del artículo, estando de acuerdo.Se procedió a realizar la reclamación a la Universal originando demora a la hora de situar este utensilio; cuando se efectúa la entrega de las hachas en la bodega La Fortuna de inmediato el administrador se dirige al promovente para hacer entrega de la misma, el cual plantea que no la acepta porque esta es de la misma calidad, se sitúa en la bodega para ser vendidas y sí cumplir con la entrega de los 105.00 pesos en MN que es lo que deseaba Antonio Torres Guerra, tarea que se realizó en el mes de noviembre del 2013 , haciendo entrega del pago al cliente.Se comprobó además, que es cierto que existió demora a la hora de solucionarse la preocupación, esto estuvo dado por la tardanza en el tiempo de recoger las hachas que no cumplían con la calidad requerida, para luego enviarlas a la Universal, responsabilidad que el Comercial de la Unidad Básica le correspondía efectuar en el término establecido.La Dirección de la Empresa adoptó la siguiente medida disciplinaria con el responsable:Enrique Olivera Núñez, jefe del Departamento Comercial de la Unidad Básica, consistente en una Amonestación Pública en su colectivo de trabajadores.Lamentamos mucho el tiempo de espera de Antonio Torres y su hijo Antonio Torres Cuba y les ofrecemos nuestras más sinceras disculpas por las molestias ocasionadas.Atentamente,";bodega;bodega;f;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;2;"Marín Labrada, subdirector comercial, Enrique Olivera, jefe del Departamento Comercial y Adonis Fonseca Gregorich, administrador de la Unidad – 4403 La Fortuna de esta comunidad.Como resultado de la investigación y como se expone en la carta, su planteamiento fue atendido en reiteradas ocasiones en su propio barrio, con el objetivo de darle al promovente la atención que merece y como está acostumbrada nuestra empresa, fue visitado por Enrique Olivera y Adonis Fonseca, los que ocupan los cargos que antes mencionamos, enunciándole que se realizaría el cambio del artículo, estando de acuerdo.Se procedió a realizar la reclamación a la Universal originando demora a la hora de situar este utensilio; cuando se efectúa la entrega de las hachas en la bodega La Fortuna de inmediato el administrador se dirige al promovente para hacer entrega de la misma, el cual plantea que no la acepta porque esta es de la misma calidad, se sitúa en la bodega para ser vendidas y sí cumplir con la entrega de los 105.00 pesos en MN que es lo que deseaba Antonio Torres Guerra, tarea que se realizó en el mes de noviembre del 2013 , haciendo entrega del pago al cliente.Se comprobó además, que es cierto que existió demora a la hora de solucionarse la preocupación, esto estuvo dado por la tardanza en el tiempo de recoger las hachas que no cumplían con la calidad requerida, para luego enviarlas a la Universal, responsabilidad que el Comercial de la Unidad Básica le correspondía efectuar en el término establecido.La Dirección de la Empresa adoptó la siguiente medida disciplinaria con el responsable:Enrique Olivera Núñez, jefe del Departamento Comercial de la Unidad Básica, consistente en una Amonestación Pública en su colectivo de trabajadores.Lamentamos mucho el tiempo de espera de Antonio Torres y su hijo Antonio Torres Cuba y les ofrecemos nuestras más sinceras disculpas por las molestias ocasionadas.Atentamente,";bodega;bodega;f;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;2;"Marín Labrada, subdirector comercial, Enrique Olivera, jefe del Departamento Comercial y Adonis Fonseca Gregorich, administrador de la Unidad – 4403 La Fortuna de esta comunidad.Como resultado de la investigación y como se expone en la carta, su planteamiento fue atendido en reiteradas ocasiones en su propio barrio, con el objetivo de darle al promovente la atención que merece y como está acostumbrada nuestra empresa, fue visitado por Enrique Olivera y Adonis Fonseca, los que ocupan los cargos que antes mencionamos, enunciándole que se realizaría el cambio del artículo, estando de acuerdo.Se procedió a realizar la reclamación a la Universal originando demora a la hora de situar este utensilio; cuando se efectúa la entrega de las hachas en la bodega La Fortuna de inmediato el administrador se dirige al promovente para hacer entrega de la misma, el cual plantea que no la acepta porque esta es de la misma calidad, se sitúa en la bodega para ser vendidas y sí cumplir con la entrega de los 105.00 pesos en MN que es lo que deseaba Antonio Torres Guerra, tarea que se realizó en el mes de noviembre del 2013 , haciendo entrega del pago al cliente.Se comprobó además, que es cierto que existió demora a la hora de solucionarse la preocupación, esto estuvo dado por la tardanza en el tiempo de recoger las hachas que no cumplían con la calidad requerida, para luego enviarlas a la Universal, responsabilidad que el Comercial de la Unidad Básica le correspondía efectuar en el término establecido.La Dirección de la Empresa adoptó la siguiente medida disciplinaria con el responsable:Enrique Olivera Núñez, jefe del Departamento Comercial de la Unidad Básica, consistente en una Amonestación Pública en su colectivo de trabajadores.Lamentamos mucho el tiempo de espera de Antonio Torres y su hijo Antonio Torres Cuba y les ofrecemos nuestras más sinceras disculpas por las molestias ocasionadas.Atentamente,";ser;ser;m;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;2;"Marín Labrada, subdirector comercial, Enrique Olivera, jefe del Departamento Comercial y Adonis Fonseca Gregorich, administrador de la Unidad – 4403 La Fortuna de esta comunidad.Como resultado de la investigación y como se expone en la carta, su planteamiento fue atendido en reiteradas ocasiones en su propio barrio, con el objetivo de darle al promovente la atención que merece y como está acostumbrada nuestra empresa, fue visitado por Enrique Olivera y Adonis Fonseca, los que ocupan los cargos que antes mencionamos, enunciándole que se realizaría el cambio del artículo, estando de acuerdo.Se procedió a realizar la reclamación a la Universal originando demora a la hora de situar este utensilio; cuando se efectúa la entrega de las hachas en la bodega La Fortuna de inmediato el administrador se dirige al promovente para hacer entrega de la misma, el cual plantea que no la acepta porque esta es de la misma calidad, se sitúa en la bodega para ser vendidas y sí cumplir con la entrega de los 105.00 pesos en MN que es lo que deseaba Antonio Torres Guerra, tarea que se realizó en el mes de noviembre del 2013 , haciendo entrega del pago al cliente.Se comprobó además, que es cierto que existió demora a la hora de solucionarse la preocupación, esto estuvo dado por la tardanza en el tiempo de recoger las hachas que no cumplían con la calidad requerida, para luego enviarlas a la Universal, responsabilidad que el Comercial de la Unidad Básica le correspondía efectuar en el término establecido.La Dirección de la Empresa adoptó la siguiente medida disciplinaria con el responsable:Enrique Olivera Núñez, jefe del Departamento Comercial de la Unidad Básica, consistente en una Amonestación Pública en su colectivo de trabajadores.Lamentamos mucho el tiempo de espera de Antonio Torres y su hijo Antonio Torres Cuba y les ofrecemos nuestras más sinceras disculpas por las molestias ocasionadas.Atentamente,";tarea;tarea;f;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;2;"Marín Labrada, subdirector comercial, Enrique Olivera, jefe del Departamento Comercial y Adonis Fonseca Gregorich, administrador de la Unidad – 4403 La Fortuna de esta comunidad.Como resultado de la investigación y como se expone en la carta, su planteamiento fue atendido en reiteradas ocasiones en su propio barrio, con el objetivo de darle al promovente la atención que merece y como está acostumbrada nuestra empresa, fue visitado por Enrique Olivera y Adonis Fonseca, los que ocupan los cargos que antes mencionamos, enunciándole que se realizaría el cambio del artículo, estando de acuerdo.Se procedió a realizar la reclamación a la Universal originando demora a la hora de situar este utensilio; cuando se efectúa la entrega de las hachas en la bodega La Fortuna de inmediato el administrador se dirige al promovente para hacer entrega de la misma, el cual plantea que no la acepta porque esta es de la misma calidad, se sitúa en la bodega para ser vendidas y sí cumplir con la entrega de los 105.00 pesos en MN que es lo que deseaba Antonio Torres Guerra, tarea que se realizó en el mes de noviembre del 2013 , haciendo entrega del pago al cliente.Se comprobó además, que es cierto que existió demora a la hora de solucionarse la preocupación, esto estuvo dado por la tardanza en el tiempo de recoger las hachas que no cumplían con la calidad requerida, para luego enviarlas a la Universal, responsabilidad que el Comercial de la Unidad Básica le correspondía efectuar en el término establecido.La Dirección de la Empresa adoptó la siguiente medida disciplinaria con el responsable:Enrique Olivera Núñez, jefe del Departamento Comercial de la Unidad Básica, consistente en una Amonestación Pública en su colectivo de trabajadores.Lamentamos mucho el tiempo de espera de Antonio Torres y su hijo Antonio Torres Cuba y les ofrecemos nuestras más sinceras disculpas por las molestias ocasionadas.Atentamente,";dado;dado;m;;;;0
cartas_2014-03-21_sobre-las-hachas-de-fragmentacion-si-hubo-demoras.html.xml.txt;2;"Marín Labrada, subdirector comercial, Enrique Olivera, jefe del Departamento Comercial y Adonis Fonseca Gregorich, administrador de la Unidad – 4403 La Fortuna de esta comunidad.Como resultado de la investigación y como se expone en la carta, su planteamiento fue atendido en reiteradas ocasiones en su propio barrio, con el objetivo de darle al promovente la atención que merece y como está acostumbrada nuestra empresa, fue visitado por Enrique Olivera y Adonis Fonseca, los que ocupan los cargos que antes mencionamos, enunciándole que se realizaría el cambio del artículo, estando de acuerdo.Se procedió a realizar la reclamación a la Universal originando demora a la hora de situar este utensilio; cuando se efectúa la entrega de las hachas en la bodega La Fortuna de inmediato el administrador se dirige al promovente para hacer entrega de la misma, el cual plantea que no la acepta porque esta es de la misma calidad, se sitúa en la bodega para ser vendidas y sí cumplir con la entrega de los 105.00 pesos en MN que es lo que deseaba Antonio Torres Guerra, tarea que se realizó en el mes de noviembre del 2013 , haciendo entrega del pago al cliente.Se comprobó además, que es cierto que existió demora a la hora de solucionarse la preocupación, esto estuvo dado por la tardanza en el tiempo de recoger las hachas que no cumplían con la calidad requerida, para luego enviarlas a la Universal, responsabilidad que el Comercial de la Unidad Básica le correspondía efectuar en el término establecido.La Dirección de la Empresa adoptó la siguiente medida disciplinaria con el responsable:Enrique Olivera Núñez, jefe del Departamento Comercial de la Unidad Básica, consistente en una Amonestación Pública en su colectivo de trabajadores.Lamentamos mucho el tiempo de espera de Antonio Torres y su hijo Antonio Torres Cuba y les ofrecemos nuestras más sinceras disculpas por las molestias ocasionadas.Atentamente,";recoger;recoger;v;;;;0
